train_id	name	item_condition_id	category_name	brand_name	price	shipping	item_description
29	Kendra bundle	3	Women/Jeans/Boot Cut	Hollister	16.0	1	29w. X 33l. Social stretch hollister jeans *** please see picture 4, the leathers tag near the belt loops is tore Also, AE favorite boyfriend size 8 stretch
30	Too Faced Better Than Sex Mascara QTY3	1	Beauty/Makeup/Eyes	Too Faced	32.0	1	BNIB 3 for [rm] Better Than Sex Waterproof Mascara Travel size 4.8g /0.17 oz See my other posts for [rm] each or 2 for [rm]
31	New Lularoe OS leggings, stars	1	Women/Athletic Apparel/Pants, Tights, Leggings		50.0	1	No description yet
32	Pink bra 36d	1	Women/Underwear/Bras	PINK	22.0	0	Pink bra with logo band! 36d push up
33	Caudalíe Beauty Elixir Spray	1	Beauty/Skin Care/Face	Sephora	10.0	1	New unused and authentic. Caudalie beauty elixir mist. 1 oz
34	Four puppy dog stuffed animal ty	3	Kids/Toys/Stuffed Animals & Plush		5.0	1	2 beanie babies pugsley wrinkles Puppy with pumpkin Big dog Retro Pinup Doll Frilly Skirted Adorable Barbie pinkSuper cute! Fan martini cherry pinup anchor marabou #Kitschoure #beasweetlollipopinaworldofsoursuckers From LOVE in sunny San Diego CALI-FORNIA US of A! Absolutely adorable soft genuine real bunny fox Foxy Loxy fur Stunning and gorgeous! Bambi long eyelashes ! Sweet cheeks blush pink juicy dollface! Candy colors! girlfriend. Dance club baby! Panty Present for the girl who has everything! Cupcake couture resin kawaii Lolita dress up gift for lime crime Pegasus unicorn flamingo swan princess kitty pinup rockabilly girls jewelry and wild fox lolita kawaii Gypsy wedding Festival EDF Electronic dance Rave Raver Coachella Party
35	Black Capri Leggings w/ Flowers One size	1	Women/Athletic Apparel/Pants, Tights, Leggings		13.0	1	One size fits sizes 2-12 92% polyester 8% spandex Super soft!! Capri leggings High waist 1in elastic waist band
36	Black bag 30	3	Women/Women's Handbags/Totes & Shoppers		209.0	0	Pre-owned. Some light scratches on hardware consistent with gentle use. Real togo leather. Comes with twilly.
37	Under Armour maroon and gray shirt metal	4	Men/Athletic Apparel/Shirts & Tops	Under Armour	6.0	1	Has some wear to the back, and few white spots which I believe can be washed out
38	XBOX One	3	Electronics/Video Games & Consoles/Consoles	Xbox	226.0	0	500GB Comes with power cord One controller with rechargeable pack and cord Comes with downloaded games The top is pretty scratched up but it doesn't affect the gameplay
39	Victoria secret 34 c corest top	3	Women/Underwear/Bras	Victoria's Secret	10.0	0	Victoria secret 34 c corest top Will bundle to save on shipping If you have any questions please feel free to ask
40	Kylie Birthday Edition	1	Beauty/Makeup/Makeup Sets	Kylie Cosmetics	20.0	1	Kylie Happy Birthday Matte Mini Lipstick Kylie Jenner Lip Kit Birthday Matte Lipstick Mini Kit 6 pcs All 6 included for the price. BRAND NEW NEVER OPENED 6 mini lipstick Leo Kristen Dolce Expos PRICE IS FIRM! WILL NOT BE DISAPPOINTED Shipping generally takes 1-3 days via USPS I ship within 24 hours. 48 hours on week
41	tropical flower print bra from pink	3	Women/Underwear/Bras	PINK	13.0	1	"Used buh looks brand new and is washed and ready to be shipped Supper cute tropical print Supper comfy and soft Size: 34 AA Great quality Made by Victoria's Secret pink 100% authentic Called ""where every where lightly lined bra"" FREE SHIP SHIPS SAME DAY PRICE INCLUDES SHIPPING AND SELLER FEE"
42	lots of Korean Nature Republic face mask	1	Beauty/Skin Care/Face		14.0	1	totally 36 masks, will be expired on Feb..
43	Apricot beige stick foundation!!	1	Beauty/Makeup/Face		12.0	1	Great quality!!! Fast free shipping!! You can find more beautiful items in my listings for a great affordable price!! Everything is sell is new and for free shipping!! I also make bundles!!
44	Glass Christmas Bowl✨	2	Vintage & Collectibles/Collectibles/Glass		12.0	1	Brand new! Never used smoking bowl. Just bought 2 days ago. Can't return these things after you buy. Pretty Christmas colors :) too big for my piece.
45	Woman's north face puffer vest	3	Women/Coats & Jackets/Vest	The North Face	51.0	0	Black outside medium gray inside. Authentic, super warm and in like new condition. Size small and runs true to size.
46	Metallic purple slime with sparkles	1	Kids/Toys/Arts & Crafts		8.0	0	This slime is approximately 1.5 ounces, very soft, it is kind of sticky, this item also comes in an air tight container for easy storage. This slime was scemted with Sparkling Blackberry Woods by Bath and Body Works.
47	Brandy Melville Off Shoulder Crop Top	2	Women/Tops & Blouses/Blouse	Brandy Melville	21.0	0	Brandy Melville Off Shoulder Crop Top. One Size Fits All. EUC. 3/4 sleeves. 100% Rayon. Actual color: Navy Blue and cream in stripes.
48	Lululemon wunder under crop	3	Women/Pants/Capris, Cropped	lululemon athletica	54.0	0	Perfect condition! Super comfy, let me know if you have any questions! *Let me know if you want any more pictures *Please ask for a measurement of you are not sure about your size *Bundle discount (: * *Usually SHIP IN THE SAME DAY if purchased on Monday - Saturday post office hours ••Any issues after purchase... Please contact me as soon as you have found the issue. Your satisfaction is my concern.••
49	Younique 3d fiber lash mascara	1	Beauty/Makeup/Eyes		9.0	1	Younique 3d fiber lash mascara will quickly become your favorite mascara... It will Increase your lashes by 300%... Brand new in package never been opened or used.. Free shipping Ships within 24hrs
50	Michael Kors CrossBody	2	Women/Women's Handbags/Messenger & Crossbody	Michael Kors	114.0	0	Sz Large Color Black Like New 100% Authentic
51	Led kids shoes size 3 and size 9	1	Kids/Girls (4+)/Shoes		36.0	0	Led shoes for kids, seven colors in one shoes, red, blue, green, purple, turquaz, yellow, white, and 6 different flashlight options. Sizes are available, unisex sizes boys or girl. Available sizes are from 10 to 3
52	Hot Wheels-Super Tuners Car Set	1	Vintage & Collectibles/Antique/Collectibles		28.0	0	"Bundle for ""Carl's Collectibles"". Year: 2000 Mattel, Inc. Bundle: Elvis ""Favorite Cars"" Collection and Vintage Hot Rids by Hot Wheels."
53	PINK by Victoria's Secret lace bandeau	2	Women/Underwear/Bras	PINK	7.0	0	Victoria's Secret PINK white/cream colored lace strapless bandeau. Size small. It doesn't have a specific cup size. Message me with questions!
54	"Rae Dunn ""HUGS"" Mug"	1	Home/Kitchen & Dining/Coffee & Tea Accessories	Rae Dunn	21.0	0	"New 2017 Rae Dunn Holiday ""HUGS"" mug. Another great holiday mug. Keep or give to someone special. We pack with care and ship promptly. Please inspect your order when delivered. Help complete your order by rating transaction."
55	Vintage wood jewelry lot	3	Vintage & Collectibles/Jewelry/Brooch		5.0	1	All are made out of wood. Necklace, earrings broach.all sold together.
56	New Josie Maran Divine Drip	1	Beauty/Skin Care/Face	Sephora	14.0	0	New Pure Honey 5oz
57	Infantino Baby Carrier	3	Kids/Gear/Backpacks & Carriers	Infantino	7.0	1	Great condition! No stains or tears super easy to use ! By infantino brand ! Purchased at target Free shipping:)
58	New yokai watch backpack	1	Kids/Gear/Backpacks & Carriers		10.0	0	New
59	HV-900 sports Bluetooth headset	1	Electronics/Cell Phones & Accessories/Headsets		12.0	1	New HV-900 sports sweatproof wireless Bluetooth 4.0 stereo headsets Earphone
60	1/4 ct Diamond Engagement Ring!	3	Women/Jewelry/Rings		119.0	0	This is a very beautiful diamond engagement ring size 7 with a thicker band than most solitaires. Reasonable offers accepted!
61	NWT Lularoe OS French bulldog leggings	1	Women/Athletic Apparel/Pants, Tights, Leggings		50.0	1	Brand new with tag and bag. French bulldog leggings. Hard to find this color background. Super soft!! Made in Vietnam. As always, free shipping. Check out my other listings for bundling.
62	High waist Levi jeans	2	Women/Athletic Apparel/Shorts	Levi's®	12.0	1	Distressed Levi high waist jeans. Size XS, 12 slim in kids size
63	Highwaist Distressed Denim Shorts	2	Women/Athletic Apparel/Shorts	Hollister	12.0	1	Highwaist distressed denim shorts size 3 The shorts I wear in most of my images
64	Patagonia Fleece Jacket	3	Men/Coats & Jackets/Fleece Jacket	patagonia	36.0	0	Men's XXL In Good Condition Minor mark on Sleeve
65	New Holiday BARBIE	1	Kids/Toys/Dolls & Accessories	Barbie	13.0	0	Brand New
66	Silver choker Italy 925	3	Women/Jewelry/Necklaces		15.0	1	Signed Italy and 925 Necklace Vintage, lobster claw closure 16 inches long
67	H&M Women's Long Horse Sweater	2	Women/Sweaters/Crewneck	H&M	16.0	0	-size XS (fits long), or S (fits medium length) -rarely worn, great condition -no flaws -selling b/c I just don't wear it -35% cotton, 37% viscose, 18% polyamide, 10% angora -retail [rm]
68	(M) Under Armour half zip jacket!	2	Women/Athletic Apparel/Jackets	Under Armour	45.0	0	Under Armour half zip jacket in awesome like new condition! Size med.
69	Iphone 6/6s marble design case	1	Electronics/Cell Phones & Accessories/Cases, Covers & Skins		5.0	1	❕PLEASE CHECK SIZE BEFORE ORDERING❕ ❕❕❕IF YOU HAVE NO RATINGS CONTACT ME AFTER YOU PURCHASE OR I WILL CANCEL❕❕❕ ⏺️Provides great protection from scratches and drops! ⏺️Price is extremely firm. All offers will be ignored ⏺️Brand new in factory sealed packaging! ⏺️Will be shipped out ASAP ⏺️Check out my page for different colors, and a large variety of cases! ⏺️ALLOW 1-2 DAYS FOR TRACKING TO UPDATE!!
70	Adidas Ultraboost Shoes	3	Women/Shoes/Athletic	Adidas	61.0	0	Overall good condition. A few signs of wear
71	Partners In Crime Necklace ShipfromChina	1	Women/Jewelry/Necklaces		4.0	1	"""Fine or Fashion: Fashion Item Type: Necklace Chain length: 60 + 5 cm ""Shipping From China,competitive price, shipping takes about 15 days~"
72	Listing for Aknuckles1	1	Home/Home Décor/Home Fragrance	Nostalgia Electrics	35.0	0	WARMERS PICTURED & 6 SAMPLE PACKAGES OF HIGHLY SCENTED WAX MELTS NIB Full Size  Flameless Electric Scented Wax Melt/Tart/Essential Oil Warmer Lamp Candle Burner with 25 watt bulb included! Guaranteed Superior Quality, Safe Durable Craftsmanship, Affordable Home Fragrance Solutions ~3.5 ft cord has on/off switch. ~ Amazing scent throw quickly releases aroma ~ Doubles as night light. ~ Perfect addition to every room in your home, dorm, business, waiting area, farm, house,  ranch, cabin, ~ Huge selection for personal and individualized themes / decor / decorating styles. ~ Compatible with any brand scented wax melts tarts ie. Scentsy bbw bath and body works Yankee  pink zebra bed bath beyond VS ~ Comes with 3 Sample pkgs high quality scented wax melts ( scents listed on profile page ) Additional melts can be added to order @ [rm] per 1.7 to 2 oz regular package please ask before ordering :) ~ Please visit us again by following our page :)
73	Toddler Vineyard Vines Hat	3	Kids/Boys 0-24 Mos/Accessories		14.0	0	Probably best for up to a 2 year old.
74	Rae Dunn Beauty and the Beast	1	Home/Kitchen & Dining/Coffee & Tea Accessories	Rae Dunn	26.0	0	Brand new! No cracks or chips! I package everything with extra care! Not responsible for item once shipped
75	Littlest pet shop accessories for Bon	3	Kids/Toys/Dolls & Accessories	Littlest Pet Shop	12.0	1	these are on hold do not buy :)
76	Black & Burgundy Bikini Bottoms	1	Women/Swimwear/Two-Piece		17.0	0	Both are a Chinese size medium which fits a US size XS. Both are brand new, never worn, did not come with a sanitary liner. Black ones are more cheeky then the burgundy ones. Will sell separately
77	Aura Fluorite Double Terminated Wand	1	Home/Home Décor/Other		19.0	1	"Aura Fluorite: ⋅ The ""protection stone"" ⋅ Grounding ⋅ Spiritualizing ⋅ Intuition ⋅ The stone to look for when wishing to connect with the spirit Details: ⋅ 4 3/4"" ⋅ Pure Aura Fluorite ⋅ Cleansed and Charged ☆ Have a blessed day ~ Tags: witchcraft , witch , altar , crystal , wiccan , wicca , pagan , witchcraft artifact , witchcraftartifact , chakra"
78	Trump Shirt	3	Men/Tops/T-shirts		9.0	0	Worn once; will be washed before sent
79	Sea wees size 0	3	Kids/Girls 0-24 Mos/Shoes	Sea Wees	14.0	0	Great condition sea wees size 0 brown
80	Maternity top bundle	3	Women/Maternity/Tops & Blouses	Motherhood Maternity	16.0	0	Sheer black flowy top with cute flower design. Ties at the back or front. Size medium. Great used condition.
81	*Hold*FREE TODAY-IT COSMETICS CC HOLD	1	Beauty/Makeup/Face	Sephora	14.0	1	New without original Packaging. SHADE IS MEDIUM IT cosmetics by Jamie kern. Full size container. 10 ml Shade is medium. CC+ eye full coverage cream color corrector correcting cream. If you are looking for certain brands or products...and don't have time for meandering through all my products...search for my products using the search function. In the search space above type in plussizemakeup This will bring up all of my listings so you can search my listings...you can even refine your search by category and brands!! #plussizemakeup
82	Mascara Bundle	2	Beauty/Makeup/Eyes		9.0	1	5 Mascaras Loreal Covergirl Rimmel Maybelline
83	Eyebrows Essential Kit MEDIUM; Brown	1	Beauty/Makeup/Eyes		6.0	1	Eyebrows Essential Kit   Everything you need to create perfect eyebrows packed in one convenient package. With easy to follow directions, it enables you to have the natural looking brows without harsh line that enhance your features. Brows  Essential Kit consists of : 1 Eyebrow Powder 3 Eyebrow stencils in thin, natural and thick, 1 Eyebrow brush applicator used to apply the eyebrow powder precisely to the desired effect.
84	Women's Espresso Pink Coral shirt XL	3	Women/Tops & Blouses/T-Shirts		10.0	0	Extra large shirt with purple beaded flower design. Size extra large.
85	VS PINK sheet Set	3	Home/Bedding/Sheets & Pillowcases		18.0	0	Hot pink/reddish sheet set from Victoria's Secret PINK store. In good condition, some fading from washing but fully intact. Includes flat sheet and two pillow cases, no fitted sheet! Design is white hearts with light pink cheetah print trim. Fits queen sized bed!
86	Jillian Michaels bodyshred Fitness DVD	1	Sports & Outdoors/Exercise/Fitness technology		39.0	0	This boxed set of 12 DVD’s includes the Fitness Guide, Meal Plan, and Rotational Calendar. The DVD’s include: Fire Up, Ignite, Launch, Rise, Amplify, Escalate, Conquer, Triumph, Zenith, and Apex. Includes BONUS DVD Opus and the Cast & Moves Disc. Original dvds sealed in box. Ships out within 24 hours Ignore: insanity p90x work out workout abs muscles bodyshred
87	Melissa and Doug folding go kitchen	3	Kids/Toys/Dress Up & Pretend Play	Melissa & Doug	34.0	0	Used but still a great play item.
88	Misty tentacruel foil pokemon card	3	Vintage & Collectibles/Trading Cards/Animation	Pokemon	3.0	1	I have 2 available
89	Nike boy sneakers	3	Kids/Boys (4+)/Shoes	Nike	28.0	0	Size 6Y. High tops. Super light. In good condition. Worn for 1 basketball season. Don't fit my sin anymore.
90	Jewel holder	2	Home/Storage & Organization/Jewelry Boxes & Organizers	Target	7.0	1	No description yet
91	Goosebumps HorrorLand DS Game	3	Electronics/Video Games & Consoles/Games	Nintendo	10.0	0	Good used condition. Ask about bundling to save.
92	Silver jeans size 11	3	Women/Jeans/Boot Cut	Silver Jeans Co.	16.0	0	Distressed with holes. Great shape well taken care of! Fits a size 11, perfect for spring summer and fall!
93	Crimson Tide Alabama T-shirt	3	Sports & Outdoors/Fan Shop/NCAA		10.0	0	Size M (8), cuffs show wear and letters are not peeling off it came like that.
94	Hatchimals Draggle	1	Kids/Toys/Electronics for Kids	Spin Master	150.0	1	BNIP VHTF! HOTTEST toy of the season!
95	Gap canvas shoes {size 8}	3	Kids/Girls 2T-5T/Shoes	Gap	9.0	1	BabyGap canvas army green Gently loved, lots of life left No holes Throw in the wash & hang dry, or wipe them clean. Girl or boy, my son wore these with Khakis to church
96	Luminess Air Airbrush Makeup System	1	Beauty/Makeup/Face		81.0	1	"Bought off Groupon and they charged me for 2, sent 2, and they won't return one even though it was a system error! It's still new and completely sealed. The second picture shows everything that's in it and the regular cost. It also comes with a how-to DVD. I ordered the ""medium shade"" as well. Comes with 4 different shades ""to find your perfect match"", a face primer, a brightening color, and blush. You can buy different shades off their website too."
97	iPhone 5S Mickey ear case	2	Electronics/Cell Phones & Accessories/Cases, Covers & Skins		9.0	1	Bling Mickey ear case!! Just used one for a Disney trip! Received many compliments!! Bling ears! Super cute! 3 stones missing to be exact but barely noticeable :) comes with strap for neck!
98	Gucci	3	Men/Men's Accessories/Watches		49.0	0	Rose gold bezel and crown Engraved logo Red and green signature band Unisex No box
99	Size 6 Watercolor Inspire Crop	3	Women/Athletic Apparel/Pants, Tights, Leggings	Lululemon	44.0	0	"Watercolor Inspire crop. No pilling or stickiness whatsoever. Some of the pink has bled into the white part of the waistband, not noticeable from a distance. 22"" inseam. Rip tag still intact, size 6."
100	Muscle t-shirt	3	Women/Tops & Blouses/T-Shirts		12.0	0	What goes better with summer than tacos & tequila? Chill out with friends sporting this great beachwear cover or wear as a stand alone with that oh so sexy bralette or bikini top! Don't forget your cool shades! Great condition! Worn once, no stains, holes, rips or treats.
101	Rock Revival 24 Bootcut	3	Women/Jeans/Boot Cut	Rock Revival	66.0	0	Any questions please ask! Price is firm
102	Black Boho Floral Embroidered Maxi Dress	2	Women/Dresses/Knee-Length		29.0	0	Size medium in perfect condition
103	kids adidas	1	Kids/Boys 2T-5T/Shoes		36.0	0	size 13 Kids brand new. paid [rm] FIRM ON THE PRICE of [rm]. DONT COMMENT LOWER PRICES OR FREE SHIPPING
104	Picture frame	2	Home/Home Décor/Home Décor Accents		14.0	0	Everything is in perfect condition Tags: heaven, family, love, picture
105	Leather Fossil Wallet	3	Women/Women's Accessories/Wallets	Fossil	10.0	0	Genuine leather, good preowned condition, does need new zipper pull on back. Smoke free home
106	Floral two Piece tracksuit set	1	Women/Athletic Apparel/Tracksuits & Sweats	Adidas	41.0	1	Cute boutique brand suit. Floral Print . Polyester & spandex material UNDER BRAND FOR VIEWING
107	Boots NWT 6.5	1	Women/Shoes/Boots	Merona	13.0	1	Merona short boot new with tag size 6.5 come just above ankle taupe color
108	New Duck Boots sz.7.5	1	Women/Shoes/Boots	Boulevard Boutique	38.0	0	New Duck Boots Sz.7.5 Stock up on These Trendy Boots great for FALL/WINTER, can be fold down to make shorter.!!! Boutique Forever Brand
109	Rose Gold Necklace with Silver Studs	2	Women/Jewelry/Necklaces		16.0	0	Brand New
110	LuLaRoe OS leggings nwt!	1	Women/Athletic Apparel/Pants, Tights, Leggings		19.0	0	I love these, but I got them as a mystery pair and they're not my size. :-( I am always happy to combine shipping and make a deal, so please feel free to check out my closet and let me know if there's anything else that you'd like! :-)
111	NWT Victoria secret bathingsuit bottoms	1	Women/Swimwear/Two-Piece	Victoria's Secret	26.0	0	Size small! NWT bathing suit bottoms
112	Huda Beauty Lashes	1	Beauty/Makeup/Eyes	Sephora	12.0	0	Huda beauty lashes in Samantha
113	Marc Jacobs Honey	2	Beauty/Fragrance/Women	MARC JACOBS	10.0	0	Roller ball full size unused with no box Fun size roller ball unused no box
114	HOLD Kesha - Sperry Shoes UA Pants	3	Women/Shoes/Loafers & Slip-Ons		31.0	0	Bundle for Kesha: Sperry Top Slider Shoes Women's 8, zebra sequin design. Never worn, smoke free home. Under Armour Storm pants women's size small. Loose fit, 100% polyester. In excellent condition - no signs of wear, no stains, no tears. Smoke free home.
115	Steve Madden wedges	2	Women/Shoes/Pumps	Steve Madden	25.0	1	Never worn!!! Brown leather strap wedges!
116	Lebron soldier 9s size 7	2	Men/Shoes/Athletic	Nike	51.0	0	Boys lebron soldier 9s great condition
117	Eyeko liquid eyeliner	1	Beauty/Makeup/Eyes		5.0	1	No description yet
118	Pink body mist	3	Beauty/Fragrance/Women	Victoria's Secret	16.0	1	Bombshell & Eau So Sexy Bombshell was used a bit have lots product left
119	Victoria's Secret PINK Zip Up Hoodie	3	Women/Sweaters/Full Zip	PINK	20.0	1	Victoria's Secret PINK Black Zip Up Hoodie Gently Used - The hoodie shows some wear since it is gently used. There is one minor stain on the wrist of the hoodie. No holes, rips, etc. Size: Large [rm] I have other PINK items in my shop and do bundle :)
120	Halloween Sweater Shirt	2	Women/Sweaters/Crewneck	No Boundaries	10.0	0	Sweater like long sleeved shirt. Glows in the dark. Purchased from another seller but it didn't fit. Says size M but would put it as a S.
121	Tens 3000 LOWERED PRICE	2	Other/Daily & Travel items/Medical Supplies & Equipment		16.0	0	Tens 3000 Have back pain?? Then this would be great for you! It's new without a box. Tens use tiny electrical impulses sent through the skin nerves to modify your pain perception. How it works/what it does It's used to relieve pain... The tens unit sends comfortable impulses through the skin that simulate the nerve(s). In many cases it will stimulation will greatly reduced or eliminate the pain sensation.
122	Bundle	3			59.0	0	Sizes and info of clothes can be found on their individual postings.
123	XL dress with built in bra.	2	Women/Dresses/Other	Faded Glory	8.0	0	White XL dress with built in bra. Strapless, ties around. Brown & pink flower pattern. Had never been in the dryer. I love this dress, but I have become too busty for it. :( Buy it seperately, or add others from my closet. I pay shipping on bundled item.
124	Miss me skinny jeans 26	4	Women/Jeans/Slim, Skinny	Miss Me	17.0	0	Miss me style name skinny size 26 inseam 32 The miss me tag is missing 3 of the buttons and it lifts up a lil bit but buckle can have that fixed & in pic 4 there's ripping by the pocket when you out them on its a lil noticeable but not all the way ripped but can be sewed. Super cute and comfy
125	Ferragamo Belt	2	Men/Men's Accessories/Belts	Salvatore Ferragamo	60.0	1	Black Ferragamo belt **Will Fit Sizes= 32-34 You have nothing to loose if you order it, if the item is not as described simply RETURN the package as is and you will get your money back
126	Urban Outfitters black skort	3	Women/Athletic Apparel/Shorts	Urban Outfitters	14.0	0	Size 10, worn but good condition.
127	Spartina leather key FOBs	3	Women/Women's Accessories/Other		11.0	0	"Excellent condition! Black Leather and brown leather Wristlet straps/ key chain straps. Gold tone Lobster claw clasps. The brown is around 7"" long and the black is around 6"" long. Silver Franco Sarto key ring with lobster claw Clasp. Perfect for having a big item on your keys & making it easy to find them in your bag! About 2"" across"
128	Zodiac tapestry	1	Home/Home Décor/Tapestries		15.0	1	"BRAND NEW TAPESTRY! Size 88"" by 55"" Twin tapestry size :) Beautiful high quality fabric 100% cotton Can be used as beach towel , bed throw , wall hanging etc FREE SHIPPING ON EVERYTHING! HAPPY SHOPPING :)"
129	Primitive pillow	2	Home/Home Décor/Home Décor Accents		9.0	0	No description yet
